UF,CIDADE,CEP INICIAL,CEP FINAL,VALOR,PRAZO
RS,RELVADORS,95965000,95966999,"419,59",7
RS,RIODOSINDIOSRS,99610000,99614999,"419,59",3
RS,ROCASALESRS,95735000,95739999,"419,59",3
RS,RODEIOBONITORS,98360000,98367999,"419,59",5
RS,RONDAALTARS,99670000,99674999,"419,59",3
RS,RONDINHARS,99590000,99599999,"419,59",3
RS,SAGRADAFAMILIARS,98330000,98334999,"419,59",7
RS,SALTODOJACUIRS,99440000,99449999,"419,59",7
RS,SALVADORDOSULRS,95750000,95754999,"419,59",3
RS,SANTACECILIADOSULRS,99952000,99954999,"419,59",7
RS,SANTACLARADOSULRS,95915000,95917999,"419,59",5
RS,SANTATEREZARS,95715000,95717999,"419,59",7
RS,SANTOANGELORS,98800000,98849999,"419,59",3
RS,SANTOANTONIODOPALMARS,99265000,99269999,"419,59",7
RS,SANTOANTONIODAPATRULHARS,95500000,95514999,"419,59",3
RS,SANTOANTONIODOPLANALTORS,99525000,99527999,"419,59",5
RS,SAOJOSEDASMISSOESRS,98325000,98329999,"419,59",3
RS,SAOLEOPOLDORS,93000000,93179999,"419,59",3
RS,SAOMARCOSRS,95190000,95199999,"419,59",3
RS,SAOPEDRODASERRARS,95758000,95759999,"419,59",3
RS,SAOPEDRODASMISSOESRS,98323000,98324999,"419,59",7
RS,SAOSEBASTIAODOCAIRS,95760000,95764999,"419,59",3
RS,SAOVALENTIMDOSULRS,99240000,99249999,"419,59",7
RS,SAOVENDELINORS,95795000,95799999,"419,59",7
RS,SAPIRANGARS,93800000,93879999,"419,59",3
RS,SEBERIRS,98380000,98384999,"419,59",5
RS,SELBACHRS,99450000,99456999,"419,59",3
RS,SERAFINACORREARS,99250000,99254999,"419,59",3
RS,SERIORS,95918000,95919999,"419,59",7
RS,SETEDESETEMBRORS,97960000,97969999,"419,59",7
RS,SOLEDADERS,99300000,99314999,"419,59",5
RS,TABAIRS,95863000,95864999,"419,59",7
RS,TAPEJARARS,99950000,99951999,"419,59",7
RS,TAPERARS,99490000,99494999,"419,59",3
RS,TAQUARIRS,95860000,95862999,"419,59",7
RS,TERRADEAREIARS,95535000,95537999,"419,59",4
RS,TEUTONIARS,95890000,95892999,"419,59",3
RS,TIOHUGORS,99345000,99349999,"419,59",7
RS,TORRESRS,95560000,95567999,"419,59",3
RS,TRAMANDAIRS,95590000,95594999,"419,59",3
RS,TRAVESSEIRORS,95948000,95949999,"419,59",5
RS,TRESCACHOEIRASRS,95580000,95584999,"419,59",4
RS,TRESFORQUILHASRS,95575000,95576999,"419,59",5
RS,TRESPALMEIRASRS,99675000,99679999,"419,59",3
RS,TRINDADEDOSULRS,99615000,99639999,"419,59",3
RS,TUNASRS,99330000,99339999,"494,30",7
RS,TUPANDIRS,95775000,95777999,"419,59",5
RS,UNIAODASERRARS,99215000,99219999,"419,59",7
RS,VALEREALRS,95778000,95779999,"419,59",5
RS,VERANOPOLISRS,95330000,95332999,"419,59",3
RS,VESPASIANOCORREARS,95972000,95974999,"419,59",7
RS,VICENTEDUTRARS,98450000,98459999,"419,59",5
RS,VICTORGRAEFFRS,99350000,99359999,"419,59",7
RS,VILALANGARORS,99955000,99959999,"419,59",7
RS,VILAMARIARS,99155000,99159999,"419,59",3
RS,VISTAALEGREDOPRATARS,95325000,95329999,"419,59",7
RS,VISTAALEGRERS,98415000,98429999,"419,59",7
RS,WESTFALIARS,95893000,95894999,"419,59",4
RS,XANGRILARS,95588000,95589999,"419,59",3
RS,AGUDORS,96540000,96544999,"462,39",5
RS,ALECRIMRS,98950000,98954999,"462,39",5
RS,ALEGRIARS,98905000,98909999,"462,39",7
RS,ARROIODOTIGRERS,96950000,96989999,"462,39",4
RS,BOAVISTADOBURICARS,98918000,98918999,"462,39",3
RS,BOMPROGRESSORS,98575000,98579999,"462,39",5
RS,BOSSOROCARS,97850000,97869999,"495,01",7
RS,BRAGARS,98560000,98569999,"462,39",7
RS,BROCHIERRS,95790000,95792999,"462,39",7
RS,CACAPAVADOSULRS,96570000,96589999,"462,39",5
RS,CAIBATERS,97930000,97934999,"495,01",5
RS,CAMPINADASMISSOESRS,98975000,98979999,"462,39",5
RS,CAMPONOVORS,98570000,98574999,"462,39",5
RS,CANDELARIARS,96930000,96949999,"462,39",3
RS,CANDIDOGODOIRS,98970000,98974999,"462,39",5
RS,CANELARS,95680000,95689999,"462,39",3
RS,CAPAODOCIPORS,97753000,97754999,"462,39",7
RS,CAPELADESANTANARS,95745000,95747999,"462,39",5
RS,CERROBRANCORS,96535000,96539999,"462,39",5
RS,CERROLARGORS,97900000,97919999,"462,39",4
RS,CHIAPETTARS,98760000,98764999,"462,39",7
RS,CONDORRS,98290000,98299999,"462,39",5
RS,CORONELBICACORS,98580000,98589999,"462,39",5
RS,CRISSIUMALRS,98640000,98669999,"462,39",5
RS,DERRUBADASRS,98528000,98529999,"462,39",7
RS,DEZESSEISDENOVEMBRORS,97845000,97849999,"462,39",7
RS,DILERMANDODEAGUIARRS,97180000,97184999,"462,39",7
RS,DONAFRANCISCARS,97280000,97299999,"462,39",5
RS,DOUTORMAURICIOCARDOSORS,98925000,98929999,"462,39",7
RS,ENCRUZILHADADOSULRS,96610000,96634999,"462,39",5
RS,ESPERANCADOSULRS,98635000,98639999,"462,39",7
RS,FAXINALDOSOTURNORS,97220000,97229999,"462,39",5
RS,FORMIGUEIRORS,97210000,97219999,"462,39",7
RS,GARRUCHOSRS,97690000,97699999,"495,01",7
RS,GIRUARS,98870000,98894999,"462,39",3
RS,GRAMADORS,95670000,95679999,"462,39",3
RS,GUARANIDASMISSOESRS,97950000,97959999,"462,39",5
RS,HERVEIRASRS,96888000,96889999,"549,56",7
RS,HORIZONTINARS,98920000,98924999,"462,39",3
RS,HUMAITARS,98670000,98674999,"462,39",5
RS,IBARAMARS,96925000,96929999,"462,39",7
RS,IGREJINHARS,95650000,95659999,"462,39",3
RS,INDEPENDENCIARS,98915000,98917999,"462,39",3
RS,INHACORARS,98765000,98769999,"462,39",7
RS,ITAARARS,97185000,97189999,"462,39",5
RS,ITACURUBIRS,97685000,97689999,"495,01",7
RS,IVORARS,98160000,98169999,"462,39",7
RS,JAGUARIRS,97760000,97769999,"495,01",5
RS,JARIRS,98175000,98179999,"495,01",7
RS,JULIODECASTILHOSRS,98130000,98139999,"462,39",5
RS,LAGOABONITADOSULRS,96920000,96924999,"462,39",7
